,Rk,Player,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
0,1,Che Adams,FW,sct Scotland,27-365,1996,2.3,2,1,1,1,0,1,1,100.0,0,2,0,2,1,3,0,0,Matches
1,2,Michel Aebischer,DF,ch Switzerland,27-188,1997,5.3,4,3,2,2,0,1,11,9.1,10,3,1,2,2,6,7,0,Matches
2,3,Arlind Ajeti,DF,al Albania,30-291,1993,3.0,1,0,0,1,0,1,3,33.3,2,5,4,1,6,7,13,0,Matches
3,4,Manuel Akanji,DF,ch Switzerland,28-359,1995,5.3,2,2,2,0,0,1,2,50.0,1,6,6,0,4,6,22,0,Matches
4,5,Samet Akaydın,DF,tr Türkiye,30-121,1994,3.7,8,4,8,0,0,6,8,75.0,2,5,5,0,7,15,16,0,Matches
5,6,Nathan Aké,DF,nl Netherlands,29-145,1995,5.2,7,5,7,0,0,4,7,57.1,3,4,3,1,6,13,14,0,Matches
6,7,Yunus Akgün,FW,tr Türkiye,24-005,2000,0.8,2,1,1,1,0,2,2,100.0,0,1,0,1,0,2,0,0,Matches
7,8,Kerem Aktürkoğlu,"FW,MF",tr Türkiye,25-265,1998,1.2,1,1,1,0,0,1,2,50.0,1,1,0,1,1,2,3,0,Matches
8,9,Trent Alexander-Arnold,"MF,DF",eng England,25-279,1998,1.5,1,0,1,0,0,0,1,0.0,1,4,2,2,2,3,3,1,Matches
9,10,Denis Alibec,FW,ro Romania,33-189,1991,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
10,11,Barış Alper Yılmaz,FW,tr Türkiye,24-050,2000,5.0,5,0,0,3,2,1,3,33.3,2,1,0,1,0,5,1,0,Matches
11,12,Sandro Altunashvili,MF,ge Georgia,27-054,1997,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
12,13,Zeki Amdouni,"MF,FW",ch Switzerland,23-221,2000,0.6,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,Matches
13,14,Joachim Andersen,DF,dk Denmark,28-042,1996,4.0,5,1,2,3,0,3,3,100.0,0,4,1,3,2,7,11,0,Matches
14,15,Robert Andrich,MF,de Germany,29-294,1994,3.5,12,8,8,4,0,5,7,71.4,2,3,1,2,2,14,12,0,Matches
15,16,Waldemar Anton,DF,de Germany,27-358,1996,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
16,17,Stuart Armstrong,MF,sct Scotland,32-104,1992,0.2,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
17,18,Marko Arnautović,FW,at Austria,35-084,1989,3.1,2,1,0,1,1,1,1,100.0,0,1,0,1,0,2,2,0,Matches
18,19,Jasir Asani,FW,al Albania,29-054,1995,2.3,3,1,3,0,0,1,7,14.3,6,1,0,1,4,7,4,0,Matches
19,20,Kristjan Asllani,MF,al Albania,22-125,2002,3.0,1,1,1,0,0,0,2,0.0,2,0,0,0,3,4,6,0,Matches
20,21,Kaan Ayhan,"MF,DF",tr Türkiye,29-245,1994,4.0,6,3,3,2,1,4,10,40.0,6,5,0,5,2,8,17,0,Matches
21,22,Alex Baena,"MF,FW",es Spain,22-358,2001,0.3,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0,Matches
22,23,Alexander Bah,"DF,MF",dk Denmark,26-216,1997,3.1,4,4,2,1,1,4,8,50.0,4,1,0,1,5,9,5,0,Matches
23,24,Nedim Bajrami,"FW,MF",al Albania,25-135,1999,2.7,3,1,2,1,0,0,2,0.0,2,1,0,1,0,3,1,0,Matches
24,25,Johan Bakayoko,"FW,DF",be Belgium,21-083,2003,0.5,2,1,1,1,0,0,3,0.0,3,0,0,0,0,2,0,0,Matches
26,26,Jure Balkovec,DF,si Slovenia,29-307,1994,1.3,6,3,2,3,1,2,5,40.0,3,2,0,2,2,8,8,0,Matches
27,27,Iván Balliu,DF,al Albania,32-193,1992,1.0,0,0,0,0,0,0,0,,0,1,1,0,2,2,2,0,Matches
28,28,Nicușor Bancu,DF,ro Romania,31-298,1992,3.0,2,2,2,0,0,1,1,100.0,0,6,2,4,0,2,11,0,Matches
29,29,Antonín Barák,MF,cz Czechia,29-222,1994,0.5,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,Matches
30,30,Bradley Barcola,"FW,MF",fr France,21-314,2002,1.1,4,4,1,1,2,1,4,25.0,3,6,0,6,0,4,0,0,Matches
31,31,Abdülkerim Bardakcı,DF,tr Türkiye,29-309,1994,4.0,4,2,4,0,0,3,6,50.0,3,5,3,2,2,6,20,0,Matches
32,32,Nicolò Barella,MF,it Italy,27-156,1997,3.7,10,5,3,7,0,5,8,62.5,3,3,0,3,3,13,2,1,Matches
33,33,Alessandro Bastoni,DF,it Italy,25-090,1999,4.0,5,2,2,3,0,2,3,66.7,1,4,2,2,1,6,17,0,Matches
34,34,Martin Baturina,FW,hr Croatia,21-147,2003,0.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
35,35,Christoph Baumgartner,"MF,FW",at Austria,24-346,1999,3.2,4,1,2,1,1,1,2,50.0,1,1,0,1,1,5,3,0,Matches
36,36,Altay Bayındır,GK,tr Türkiye,26-089,1998,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
37,37,Jan Bednarek,DF,pl Poland,28-091,1996,3.0,2,1,2,0,0,2,6,33.3,4,8,7,1,3,5,13,0,Matches
38,38,Maximilian Beier,FW,de Germany,21-269,2002,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
39,39,Jude Bellingham,MF,eng England,21-013,2003,6.4,9,6,1,4,4,1,5,20.0,4,5,1,4,3,12,4,1,Matches
40,40,László Bénes,MF,sk Slovakia,26-307,1997,0.8,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0,Matches
41,41,Bartosz Bereszyński,DF,pl Poland,32-000,1992,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
42,42,Steven Bergwijn,FW,nl Netherlands,26-278,1997,1.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
43,43,Medon Berisha,MF,al Albania,20-265,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
44,44,Victor Bernth Kristiansen,"DF,MF",dk Denmark,21-209,2002,1.7,4,3,3,1,0,1,2,50.0,1,2,0,2,0,4,4,1,Matches
45,45,Matúš Bero,"MF,DF",sk Slovakia,28-310,1995,0.5,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,Matches
46,46,Jaka Bijol,DF,si Slovenia,25-158,1999,4.3,11,6,10,1,0,5,6,83.3,1,10,7,3,6,17,38,0,Matches
47,47,Veljko Birmančević,DF,rs Serbia,26-129,1998,0.3,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,Matches
48,48,Daley Blind,FW,nl Netherlands,34-125,1990,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
49,49,Bendegúz Bolla,DF,hu Hungary,24-233,1999,2.3,4,3,3,0,1,2,4,50.0,2,3,1,2,1,5,9,0,Matches
50,50,Endre Botka,DF,hu Hungary,29-322,1994,1.0,3,1,2,1,0,1,1,100.0,0,0,0,0,1,4,3,0,Matches
52,51,Jarrod Bowen,FW,eng England,27-205,1996,0.4,1,1,0,1,0,0,1,0.0,1,1,0,1,1,2,1,0,Matches
53,52,Róbert Boženík,FW,sk Slovakia,24-237,1999,2.3,3,3,0,3,0,0,1,0.0,1,1,0,1,0,3,3,0,Matches
54,53,Volodymyr Brazhko,MF,ua Ukraine,22-171,2002,2.0,8,5,5,3,0,1,1,100.0,0,2,1,1,5,13,4,0,Matches
55,54,David Brekalo,MF,si Slovenia,25-222,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
56,55,Brian Brobbey,FW,nl Netherlands,22-162,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
57,56,Armando Broja,FW,al Albania,22-306,2001,1.2,1,1,0,0,1,0,0,,0,0,0,0,0,1,1,0,Matches
58,57,Marcelo Brozović,MF,hr Croatia,31-239,1992,2.5,1,0,1,0,0,0,2,0.0,2,3,1,2,4,5,4,0,Matches
59,58,Jacob Bruun Larsen,FW,dk Denmark,25-297,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
60,59,Ante Budimir,FW,hr Croatia,32-356,1991,1.4,2,2,0,1,1,1,1,100.0,0,3,1,2,0,2,2,0,Matches
61,60,Adam Buksa,FW,pl Poland,28-000,1996,1.7,0,0,0,0,0,0,0,,0,4,0,4,0,0,3,0,Matches
62,61,Andrei Burcă,DF,ro Romania,31-088,1993,4.0,4,2,3,1,0,3,4,75.0,1,7,4,3,1,5,23,0,Matches
63,62,Riccardo Calafiori,DF,it Italy,22-054,2002,3.0,3,1,3,0,0,2,6,33.3,4,2,1,1,6,9,9,0,Matches
64,63,Hakan Çalhanoğlu,MF,tr Türkiye,30-155,1994,3.9,5,4,3,2,0,3,6,50.0,3,3,1,2,1,6,6,0,Matches
65,64,Eduardo Camavinga,MF,fr France,21-245,2002,1.9,5,2,3,1,1,2,5,40.0,3,9,1,8,1,6,5,0,Matches
66,65,Andrea Cambiaso,"FW,DF",it Italy,24-143,2000,0.8,4,4,4,0,0,3,4,75.0,1,1,1,0,0,4,0,0,Matches
67,66,Emre Can,MF,de Germany,30-182,1994,1.1,4,3,2,2,0,2,2,100.0,0,2,2,0,1,5,2,0,Matches
68,67,João Cancelo,"DF,MF",pt Portugal,30-046,1994,3.8,6,4,2,2,2,4,8,50.0,4,2,0,2,4,10,8,1,Matches
69,68,Yannick Carrasco,"DF,FW",be Belgium,30-312,1993,2.4,4,2,0,4,0,3,7,42.9,4,0,0,0,0,4,3,0,Matches
70,69,Dani Carvajal,DF,es Spain,32-183,1992,4.2,5,2,3,0,2,2,6,33.3,4,5,2,3,6,11,5,0,Matches
71,70,Timothy Castagne,DF,be Belgium,28-220,1995,4.0,1,1,0,1,0,0,2,0.0,2,5,2,3,2,3,14,0,Matches
72,71,Koen Casteels,GK,be Belgium,32-017,1992,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
73,72,Žan Celar,"FW,MF",si Slovenia,25-120,1999,0.7,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,2,0,Matches
74,73,Zeki Çelik,"DF,MF",tr Türkiye,27-146,1997,1.2,3,0,2,1,0,3,4,75.0,1,1,0,1,0,3,0,0,Matches
75,74,Václav Černý,MF,cz Czechia,26-269,1997,0.6,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,1,0,Matches
76,75,Giorgi Chakvetadze,"MF,FW",ge Georgia,24-318,1999,2.7,10,5,7,2,1,6,9,66.7,3,7,2,5,1,11,3,0,Matches
78,76,Federico Chiesa,"FW,MF",it Italy,26-261,1997,2.9,6,4,4,1,1,3,5,60.0,2,0,0,0,3,9,2,0,Matches
79,77,Tomáš Chorý,MF,cz Czechia,29-168,1995,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
80,78,Andreas Christensen,DF,dk Denmark,28-093,1996,3.9,4,2,4,0,0,3,3,100.0,0,3,1,2,6,10,11,0,Matches
81,79,Ryan Christie,"MF,FW",sct Scotland,29-141,1995,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
82,80,Mojmir Chytil,FW,cz Czechia,25-074,1999,1.2,0,0,0,0,0,0,0,,0,2,0,2,0,0,2,0,Matches
83,81,Alexandru Cicâldău,MF,ro Romania,27-004,1997,0.2,2,0,2,0,0,1,1,100.0,0,1,0,1,0,2,0,0,Matches
84,82,Florinel Coman,MF,ro Romania,26-093,1998,1.3,1,1,1,0,0,0,0,,0,1,0,1,1,2,2,0,Matches
85,83,Kingsley Coman,MF,fr France,28-029,1996,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
86,84,Francisco Conceição,"FW,MF",pt Portugal,21-211,2002,2.0,2,1,0,2,0,0,3,0.0,3,1,0,1,0,2,0,0,Matches
87,85,Diogo Costa,GK,pt Portugal,24-297,1999,5.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
88,86,Vladimír Coufal,"DF,FW",cz Czechia,31-325,1992,3.0,5,4,4,1,0,4,9,44.4,5,7,6,1,2,7,13,0,Matches
89,87,Bryan Cristante,MF,it Italy,29-131,1995,1.5,0,0,0,0,0,0,0,,0,1,1,0,2,2,1,0,Matches
90,88,Kevin Csoboth,DF,hu Hungary,24-022,2000,0.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
